Variable:,tas
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1901,24.49,26.23,22.84,25.40,27.81,26.80,16.39,19.26,19.50,25.17,26.02,19.26,25.40,25.96,26.41,18.03,26.46,26.27,25.68,19.38,25.93,24.99,21.05,21.10,23.99,17.67,20.56,27.17,22.37,27.62,19.72,21.40,25.83,27.28
1902,24.39,26.23,22.79,25.03,27.66,26.62,16.22,19.26,19.48,25.17,25.77,19.26,25.13,25.96,26.34,17.97,26.31,25.92,25.66,19.38,25.72,24.93,21.05,20.80,23.99,17.67,20.56,27.17,22.18,27.48,19.71,21.40,25.82,26.98
1903,24.42,26.23,22.80,25.12,27.70,26.66,16.26,19.26,19.48,25.17,25.83,19.26,25.19,25.96,26.36,17.98,26.35,26.00,25.67,19.38,25.76,24.94,21.05,20.88,23.99,17.67,20.56,27.17,22.23,27.52,19.71,21.40,25.82,27.05
1904,24.42,26.23,22.80,25.15,27.70,26.68,16.27,19.26,19.48,25.17,25.85,19.26,25.21,25.96,26.36,17.99,26.36,25.90,25.67,19.38,25.78,24.95,21.05,20.89,23.99,17.67,20.56,27.17,22.25,27.53,19.71,21.40,25.82,27.08
1905,24.36,26.23,22.77,24.91,27.60,26.57,16.16,19.26,19.47,25.17,25.69,19.26,25.04,25.96,26.32,17.95,26.27,25.83,25.65,19.38,25.64,24.91,21.05,20.70,23.99,17.67,20.56,27.17,22.12,27.44,19.71,21.40,25.82,26.89
1906,24.36,26.23,22.77,24.94,27.61,26.58,16.17,19.26,19.47,25.17,25.71,19.26,25.05,25.96,26.32,17.95,26.28,25.78,25.66,19.38,25.66,24.92,21.05,20.73,23.99,17.67,20.56,27.17,22.14,27.46,19.71,21.40,25.82,26.91
1907,24.44,26.23,22.81,25.22,27.74,26.72,16.31,19.26,19.49,25.17,25.90,19.26,25.27,25.96,26.37,18.00,26.38,25.91,25.67,19.38,25.82,24.96,21.05,20.96,23.99,17.67,20.56,27.17,22.28,27.55,19.72,21.40,25.82,27.14
1908,24.35,26.23,22.76,24.88,27.59,26.55,16.15,19.26,19.46,25.17,25.67,19.26,25.00,25.96,26.31,17.94,26.25,25.69,25.65,19.38,25.62,24.91,21.05,20.68,23.99,17.67,20.56,27.17,22.10,27.43,19.71,21.40,25.82,26.86
1909,24.39,26.23,22.79,25.05,27.65,26.64,16.23,19.26,19.48,25.17,25.79,19.26,25.14,25.96,26.34,17.97,26.32,25.81,25.66,19.38,25.72,24.93,21.05,20.83,23.99,17.67,20.56,27.17,22.20,27.50,19.71,21.40,25.82,27.00
1910,24.40,26.23,22.79,25.06,27.66,26.63,16.23,19.26,19.48,25.17,25.79,19.26,25.14,25.96,26.34,17.97,26.34,25.81,25.66,19.38,25.72,24.93,21.05,20.82,23.99,17.67,20.56,27.17,22.19,27.50,19.71,21.40,25.82,27.00
1911,24.43,26.23,22.80,25.17,27.72,26.69,16.29,19.26,19.48,25.17,25.87,19.26,25.22,25.96,26.37,17.99,26.38,25.89,25.67,19.38,25.79,24.95,21.05,20.92,23.99,17.67,20.56,27.17,22.26,27.53,19.72,21.40,25.82,27.09
1912,24.38,26.23,22.78,24.98,27.63,26.59,16.20,19.26,19.47,25.17,25.74,19.26,25.09,25.96,26.33,17.96,26.32,25.83,25.66,19.38,25.69,24.92,21.05,20.76,23.99,17.67,20.56,27.17,22.16,27.47,19.71,21.40,25.82,26.94
1913,24.47,26.23,22.83,25.35,27.79,26.77,16.37,19.26,19.49,25.17,25.99,19.26,25.36,25.96,26.40,18.02,26.45,25.96,25.68,19.38,25.89,24.98,21.05,21.07,23.99,17.67,20.56,27.18,22.35,27.59,19.72,21.40,25.82,27.24
1914,24.39,26.23,22.79,25.05,27.66,26.63,16.23,19.26,19.47,25.17,25.78,19.26,25.14,25.96,26.35,17.97,26.34,25.83,25.66,19.38,25.72,24.93,21.05,20.82,23.99,17.67,20.56,27.17,22.19,27.49,19.71,21.40,25.82,26.99
1915,24.80,26.25,23.35,25.73,28.23,27.24,16.84,19.42,20.02,25.34,26.41,19.42,25.78,26.28,26.92,18.53,26.71,26.52,26.02,19.66,26.33,25.41,21.09,21.48,24.05,18.14,21.05,27.17,22.82,28.09,20.17,21.73,26.03,27.58
1916,24.62,26.23,23.02,25.59,27.97,26.98,16.57,19.32,19.68,25.24,26.21,19.32,25.58,26.08,26.59,18.21,26.57,26.29,25.81,19.49,26.10,25.15,21.06,21.29,24.02,17.84,20.73,27.17,22.56,27.79,19.88,21.53,25.90,27.45
